GOLD - COMMODITY EXCHANGE INC.,250527,2025-05-27,088691,CMX ,1,88,716227,35919,80772,35761,201669,79731,152034,34797,78559,81432,21607,189895,653331,687030,62895,29197,716227,35919,80772,35761,201669,79731,152034,34797,78559,81432,21607,189895,653331,687030,62895,29197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -144841,  -16110,  -10802,    4863,   -2913,  -17478,   -1229,     149,  -14884,   -2423,    -923,  -99097, -146357, -145948,    1516,    1107,100.0,5.0,11.3,5.0,28.2,11.1,21.2,4.9,11.0,11.4,3.0,26.5,91.2,95.9,8.8,4.1,100.0,5.0,11.3,5.0,28.2,11.1,21.2,4.9,11.0,11.4,3.0,26.5,91.2,95.9,8.8,4.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333,     17,     20,     21,     25,     37,     96,     21,     64,    101,     44,     69,295,    221,333,     17,     20,     21,     25,     37,     96,     21,     64,    101,     44,     69,    295,    221,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,19.4,26.6,29.2,39.8,9.9,17.2,14.8,25.3,19.4,26.6,29.2,39.8,9.9,17.2,14.8,25.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88,N20,Combined
GOLD - COMMODITY EXCHANGE INC.,250520,2025-05-20,088691,CMX ,1,88,861067,52029,91574,30898,204582,97209,153263,34648,93443,83854,22530,288992,799688,832978,61379,28090,861067,52029,91574,30898,204582,97209,153263,34648,93443,83854,22530,288992,799688,832978,61379,28090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   28651,    3872,     566,    -156,    9795,    2690,    5009,   -2733,   10311,   -7150,   -3328,   11904,   26479,   29205,    2172,    -553,100.0,6.0,10.6,3.6,23.8,11.3,17.8,4.0,10.9,9.7,2.6,33.6,92.9,96.7,7.1,3.3,100.0,6.0,10.6,3.6,23.8,11.3,17.8,4.0,10.9,9.7,2.6,33.6,92.9,96.7,7.1,3.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360,     17,     19,     20,     22,     35,    103,     23,     70,    114,     54,     83,322,    239,360,     17,     19,     20,     22,     35,    103,     23,     70,    114,     54,     83,    322,    239,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,21.8,27.1,32.1,40.2,8.1,14.5,12.3,21.5,21.8,27.1,32.1,40.2,8.1,14.5,12.3,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88,N20,Combined
GOLD - COMMODITY EXCHANGE INC.,250513,2025-05-13,088691,CMX ,1,88,832416,48157,91008,31054,194787,94519,148255,37381,83132,91004,25858,277088,773209,803773,59207,28643,832416,48157,91008,31054,194787,94519,148255,37381,83132,91004,25858,277088,773209,803773,59207,28643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  -70379,   -2549,   -5850,   -1186,   -2276,   -1781,     704,    2138,  -29582,   -5221,   -1560,  -28284,  -67899,  -67194,   -2480,   -3186,100.0,5.8,10.9,3.7,23.4,11.4,17.8,4.5,10.0,10.9,3.1,33.3,92.9,96.6,7.1,3.4,100.0,5.8,10.9,3.7,23.4,11.4,17.8,4.5,10.0,10.9,3.1,33.3,92.9,96.6,7.1,3.4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368,     16,     19,     21,     22,     37,    100,     24,     66,    117,     59,     84,321,    246,368,     16,     19,     21,     22,     37,    100,     24,     66,    117,     59,     84,    321,    246,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,21.6,27.0,31.8,40.2,8.3,14.8,12.5,22.0,21.6,27.0,31.8,40.2,8.3,14.8,12.5,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88,N20,Combined
GOLD - COMMODITY EXCHANGE INC.,250506,2025-05-06,088691,CMX ,1,88,902795,50707,96858,32240,197063,96299,147550,35243,112714,96225,27418,305372,841108,870967,61688,31829,902795,50707,96858,32240,197063,96299,147550,35243,112714,96225,27418,305372,841108,870967,61688,31829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   40197,    1913,    2459,    1443,    2139,   -1319,   -7706,   -4148,   12323,    2143,    -651,   28146,   36944,   38950,    3253,    1247,100.0,5.6,10.7,3.6,21.8,10.7,16.3,3.9,12.5,10.7,3.0,33.8,93.2,96.5,6.8,3.5,100.0,5.6,10.7,3.6,21.8,10.7,16.3,3.9,12.5,10.7,3.0,33.8,93.2,96.5,6.8,3.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381,     15,     19,     24,     26,     41,    102,     27,     69,    114,     63,     84,334,    252,381,     15,     19,     24,     26,     41,    102,     27,     69,    114,     63,     84,    334,    252,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,21.9,27.0,33.5,40.3,7.4,13.7,11.3,20.9,21.9,27.0,33.5,40.3,7.4,13.7,11.3,20.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88,N20,Combined
GOLD - COMMODITY EXCHANGE INC.,250429,2025-04-29,088691,CMX ,1,88,862598,48794,94399,30798,194924,97618,155256,39391,100390,94082,28069,277226,804164,832017,58434,30582,862598,48794,94399,30798,194924,97618,155256,39391,100390,94082,28069,277226,804164,832017,58434,30582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -116333,   -1285,   -2481,   -1493,  -11690,  -12442,   -9180,     677,  -25838,   -5218,   -1685,  -57600, -113055, -111057,   -3278,   -5277,100.0,5.7,10.9,3.6,22.6,11.3,18.0,4.6,11.6,10.9,3.3,32.1,93.2,96.5,6.8,3.5,100.0,5.7,10.9,3.6,22.6,11.3,18.0,4.6,11.6,10.9,3.3,32.1,93.2,96.5,6.8,3.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362,     15,     19,     20,     26,     34,    101,     31,     68,    100,     58,     77,316,    236,362,     15,     19,     20,     26,     34,    101,     31,     68,    100,     58,     77,    316,    236,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,21.3,26.5,32.8,39.8,7.8,13.5,11.9,21.7,21.3,26.5,32.8,39.8,7.8,13.5,11.9,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88,N20,Combined
GOLD - COMMODITY EXCHANGE INC.,250422,2025-04-22,088691,CMX ,1,88,978932,50079,96879,32291,206614,110060,164436,38714,126228,99300,29753,334826,917219,943074,61713,35858,978932,50079,96879,32291,206614,110060,164436,38714,126228,99300,29753,334826,917219,943074,61713,35858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   94003,    7873,    2665,    6902,  -13035,   22001,  -10787,     409,   20514,   -8413,    1522,   53411,   91501,   87486,    2503,    6517,100.0,5.1,9.9,3.3,21.1,11.2,16.8,4.0,12.9,10.1,3.0,34.2,93.7,96.3,6.3,3.7,100.0,5.1,9.9,3.3,21.1,11.2,16.8,4.0,12.9,10.1,3.0,34.2,93.7,96.3,6.3,3.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383,     16,     19,     20,     27,     37,    110,     29,     67,    112,     60,     89,338,    250,383,     16,     19,     20,     27,     37,    110,     29,     67,    112,     60,     89,    338,    250,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,21.8,26.1,33.4,38.7,7.0,12.3,10.9,19.8,21.8,26.1,33.4,38.7,7.0,12.3,10.9,19.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88,N20,Combined
GOLD - COMMODITY EXCHANGE INC.,250415,2025-04-15,088691,CMX ,1,88,884929,42205,94214,25389,219649,88058,175224,38305,105714,107713,28231,281415,825718,855588,59210,29341,884929,42205,94214,25389,219649,88058,175224,38305,105714,107713,28231,281415,825718,855588,59210,29341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  109192,    5947,    6690,   -3221,    6887,   16737,   -5810,   -4262,   22028,   19730,    4884,   52527,  107939,  105492,    1253,    3701,100.0,4.8,10.6,2.9,24.8,10.0,19.8,4.3,11.9,12.2,3.2,31.8,93.3,96.7,6.7,3.3,100.0,4.8,10.6,2.9,24.8,10.0,19.8,4.3,11.9,12.2,3.2,31.8,93.3,96.7,6.7,3.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361,     14,     20,     19,     29,     37,    110,     23,     67,     99,     54,     73,320,    229,361,     14,     20,     19,     29,     37,    110,     23,     67,     99,     54,     73,    320,    229,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,20.5,25.8,32.0,38.8,9.3,14.4,13.6,23.0,20.5,25.8,32.0,38.8,9.3,14.4,13.6,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88,N20,Combined
GOLD - COMMODITY EXCHANGE INC.,250408,2025-04-08,088691,CMX ,1,88,775736,36258,87524,28610,212762,71321,181033,42568,83686,87983,23347,228888,717779,750096,57957,25640,775736,36258,87524,28610,212762,71321,181033,42568,83686,87983,23347,228888,717779,750096,57957,25640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  -75700,    -835,  -10716,    5719,  -25823,   -4746,  -35315,    2772,  -22009,  -20002,  -10309,    2254,  -74934,  -68577,    -766,   -7123,100.0,4.7,11.3,3.7,27.4,9.2,23.3,5.5,10.8,11.3,3.0,29.5,92.5,96.7,7.5,3.3,100.0,4.7,11.3,3.7,27.4,9.2,23.3,5.5,10.8,11.3,3.0,29.5,92.5,96.7,7.5,3.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355,     14,     18,     22,     22,     35,    110,     25,     73,    106,     46,     81,321,    234,355,     14,     18,     22,     22,     35,    110,     25,     73,    106,     46,     81,    321,    234,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,19.5,25.1,29.8,38.6,9.7,15.8,14.2,25.7,19.5,25.1,29.8,38.6,9.7,15.8,14.2,25.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88,N20,Combined
GOLD - COMMODITY EXCHANGE INC.,250401,2025-04-01,088691,CMX ,1,88,851437,37094,98240,22891,238585,76067,216348,39795,105695,107985,33656,226634,792714,818673,58723,32764,851437,37094,98240,22891,238585,76067,216348,39795,105695,107985,33656,226634,792714,818673,58723,32764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   24835,   -3180,   -1318,    9923,   -1875,  -25542,  -10357,    5777,   25002,    9966,    1535,   20507,   26320,   24086,   -1485,     749,100.0,4.4,11.5,2.7,28.0,8.9,25.4,4.7,12.4,12.7,4.0,26.6,93.1,96.2,6.9,3.8,100.0,4.4,11.5,2.7,28.0,8.9,25.4,4.7,12.4,12.7,4.0,26.6,93.1,96.2,6.9,3.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369,     13,     20,     13,     27,     29,    112,     29,     64,     99,     63,     82,317,    237,369,     13,     20,     13,     27,     29,    112,     29,     64,     99,     63,     82,    317,    237,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,18.5,24.5,30.0,36.7,10.5,15.2,15.4,24.1,18.5,24.5,30.0,36.7,10.5,15.2,15.4,24.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88,N20,Combined
GOLD - COMMODITY EXCHANGE INC.,250325,2025-03-25,088691,CMX ,1,88,826602,40273,99558,12968,240461,101610,226705,34018,80693,98019,32121,206127,766394,794586,60208,32015,826602,40273,99558,12968,240461,101610,226705,34018,80693,98019,32121,206127,766394,794586,60208,32015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  -43432,   -9417,  -11039,    -590,   -6613,    4087,   -8705,   -1234,  -14495,   -1913,     599,  -12095,  -43128,  -40790,    -304,   -2641,100.0,4.9,12.0,1.6,29.1,12.3,27.4,4.1,9.8,11.9,3.9,24.9,92.7,96.1,7.3,3.9,100.0,4.9,12.0,1.6,29.1,12.3,27.4,4.1,9.8,11.9,3.9,24.9,92.7,96.1,7.3,3.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358,     13,     18,     14,     29,     36,    116,     20,     65,     96,     59,     79,317,    231,358,     13,     18,     14,     29,     36,    116,     20,     65,     96,     59,     79,    317,    231,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,18.6,24.9,28.8,38.3,10.3,16.5,15.8,25.2,18.6,24.9,28.8,38.3,10.3,16.5,15.8,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88,N20,Combined
GOLD - COMMODITY EXCHANGE INC.,250318,2025-03-18,088691,CMX ,1,88,870033,49690,110597,13557,247074,97523,235409,35252,95187,99932,31522,218222,809522,835376,60512,34657,870033,49690,110597,13557,247074,97523,235409,35252,95187,99932,31522,218222,809522,835376,60512,34657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   90763,    3663,   10497,   -2230,   13424,   18099,   19783,    1775,    3745,   11919,    3389,   35438,   90417,   86369,     346,    4395,100.0,5.7,12.7,1.6,28.4,11.2,27.1,4.1,10.9,11.5,3.6,25.1,93.0,96.0,7.0,4.0,100.0,5.7,12.7,1.6,28.4,11.2,27.1,4.1,10.9,11.5,3.6,25.1,93.0,96.0,7.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362,     12,     18,     15,     28,     35,    116,     20,     64,     97,     63,     81,324,    227,362,     12,     18,     15,     28,     35,    116,     20,     64,     97,     63,     81,    324,    227,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,19.6,25.2,30.0,39.6,10.1,15.9,15.5,24.7,19.6,25.2,30.0,39.6,10.1,15.9,15.5,24.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88,N20,Combined
GOLD - COMMODITY EXCHANGE INC.,250311,2025-03-11,088691,CMX ,1,88,779270,46027,100100,15787,233650,79424,215627,33476,91442,88014,28132,182784,719105,749008,60166,30262,779270,46027,100100,15787,233650,79424,215627,33476,91442,88014,28132,182784,719105,749008,60166,30262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   22971,    -382,   -1682,    2181,   -1990,   17823,   -1429,   -1016,    6497,   -6900,    -344,    1515,   19307,   20805,    3664,    2165,100.0,5.9,12.8,2.0,30.0,10.2,27.7,4.3,11.7,11.3,3.6,23.5,92.3,96.1,7.7,3.9,100.0,5.9,12.8,2.0,30.0,10.2,27.7,4.3,11.7,11.3,3.6,23.5,92.3,96.1,7.7,3.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,     13,     15,     15,     27,     35,    108,     21,     65,     91,     51,     74,301,    217,336,     13,     15,     15,     27,     35,    108,     21,     65,     91,     51,     74,    301,    217,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,19.6,26.2,31.5,40.9,11.3,17.4,17.0,26.3,19.6,26.2,31.5,40.9,11.3,17.4,17.0,26.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88,N20,Combined
GOLD - COMMODITY EXCHANGE INC.,250304,2025-03-04,088691,CMX ,1,88,756299,46409,101781,13606,235639,61601,217056,34492,84944,94913,28476,181269,699798,728203,56502,28097,756299,46409,101781,13606,235639,61601,217056,34492,84944,94913,28476,181269,699798,728203,56502,28097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  -16748,    1012,    -861,    1480,  -14490,   -8661,   -6399,    5394,   -5659,   -6562,      86,    7257,  -17533,  -16935,     785,     188,100.0,6.1,13.5,1.8,31.2,8.1,28.7,4.6,11.2,12.5,3.8,24.0,92.5,96.3,7.5,3.7,100.0,6.1,13.5,1.8,31.2,8.1,28.7,4.6,11.2,12.5,3.8,24.0,92.5,96.3,7.5,3.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325,     14,     14,     14,     28,     34,    101,     20,     61,     90,     51,     73,295,    207,325,     14,     14,     14,     28,     34,    101,     20,     61,     90,     51,     73,    295,    207,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,19.7,27.7,31.3,41.9,11.7,18.7,17.7,27.9,19.7,27.7,31.3,41.9,11.7,18.7,17.7,27.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88,N20,Combined
GOLD - COMMODITY EXCHANGE INC.,250225,2025-02-25,088691,CMX ,1,88,773047,45397,102642,12126,250130,70262,223455,29098,90604,101475,28391,174012,717331,745138,55716,27909,773047,45397,102642,12126,250130,70262,223455,29098,90604,101475,28391,174012,717331,745138,55716,27909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  -98091,   -4266,   -5193,   -2546,   -7804,  -20330,   -8310,    -706,   -8859,   -1004,   -1275,  -50065,  -95380,  -94231,   -2710,   -3859,100.0,5.9,13.3,1.6,32.4,9.1,28.9,3.8,11.7,13.1,3.7,22.5,92.8,96.4,7.2,3.6,100.0,5.9,13.3,1.6,32.4,9.1,28.9,3.8,11.7,13.1,3.7,22.5,92.8,96.4,7.2,3.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331,     14,     15,     13,     30,     35,    103,     20,     66,     92,     50,     69,293,    216,331,     14,     15,     13,     30,     35,    103,     20,     66,     92,     50,     69,    293,    216,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,19.4,26.5,30.8,42.1,11.5,18.5,17.4,28.3,19.4,26.5,30.8,42.1,11.5,18.5,17.4,28.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88,N20,Combined
GOLD - COMMODITY EXCHANGE INC.,250218,2025-02-18,088691,CMX ,1,88,871137,49662,107835,14673,257934,90592,231765,29803,99463,102479,29665,224077,812711,839369,58427,31769,871137,49662,107835,14673,257934,90592,231765,29803,99463,102479,29665,224077,812711,839369,58427,31769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    3628,    2571,     425,   -2847,  -17397,    2944,  -11641,    1964,    1453,   -5156,      96,   14500,    1826,    3986,    1802,    -358,100.0,5.7,12.4,1.7,29.6,10.4,26.6,3.4,11.4,11.8,3.4,25.7,93.3,96.4,6.7,3.6,100.0,5.7,12.4,1.7,29.6,10.4,26.6,3.4,11.4,11.8,3.4,25.7,93.3,96.4,6.7,3.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350,     14,     15,     15,     32,     40,    106,     21,     68,     91,     62,     79,315,    231,350,     14,     15,     15,     32,     40,    106,     21,     68,     91,     62,     79,    315,    231,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,20.3,26.9,31.4,42.6,10.5,16.9,16.1,26.1,20.3,26.9,31.4,42.6,10.5,16.9,16.1,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88,N20,Combined
